Comment No , Profanity %
       722 , 6.67%
       723 , 20.59%
       724 , 19.35%
       725 , 14.29%
       726 , 14.29%
       727 , 17.65%
       728 , 3.85%
       729 , 0.00%
       730 , 100.00%
       731 , 37.50%
       732 , 13.51%
       733 , 33.33%
       734 , 80.00%
       735 , 14.29%
       736 , 100.00%
       737 , 0.00%
       738 , 16.67%
       739 , 20.00%
       740 , 7.69%
       741 , 36.36%
       742 , 20.00%
       743 , 23.53%
       744 , 17.24%
       745 , 6.38%
       746 , 20.00%
       747 , 12.20%
       748 , 11.11%
       749 , 23.53%
       750 , 50.00%
       751 , 50.00%
       752 , 21.05%
       753 , 13.79%
       754 , 22.73%
       755 , 50.00%
       756 , 9.09%
       757 , 23.53%
       758 , 13.33%
       759 , 12.50%
       760 , 10.91%
       761 , 8.70%
       762 , 13.64%
       763 , 18.52%
       764 , 50.00%
       765 , 9.09%
       766 , 14.29%
       767 , 0.00%
       768 , 22.22%
       769 , 44.44%
       770 , 50.00%
       771 , 42.86%
       772 , 18.18%
       773 , 5.56%
       774 , 55.56%
       775 , 33.33%
       776 , 4.55%
       777 , 15.84%
       778 , 71.43%
       779 , 45.45%
       780 , 8.33%
       781 , 20.00%
       782 , 42.86%
       783 , 37.50%
       784 , 0.00%
       785 , 6.06%
       786 , 18.18%
       787 , 13.33%
       788 , 0.00%
       789 , 10.34%
       790 , 75.00%
       791 , 25.00%
       792 , 0.00%
       793 , 25.00%
       794 , 10.00%
       795 , 0.00%
       796 , 23.81%
       797 , 0.00%
       798 , 33.33%
       799 , 18.06%
       800 , 66.67%
       801 , 13.16%
       802 , 11.76%
       803 , 0.00%
       804 , 5.41%
       805 , 15.79%
       806 , 80.00%
       807 , 0.00%
       808 , 50.00%
       809 , 18.39%
       810 , 0.00%
       811 , 0.00%
       812 , 13.73%
       813 , 11.11%
       814 , 66.67%
       815 , 18.75%
       816 , 35.00%
       817 , 16.98%
       818 , 20.00%
       819 , 20.00%
       820 , 10.53%
       821 , 17.39%
       822 , 17.39%
       823 , 0.00%
       824 , 14.29%
       825 , 20.78%
       826 , 7.69%
       827 , 8.57%
       828 , 50.00%
       829 , 9.09%
       830 , 11.76%
       831 , 13.33%
       832 , 10.00%
       833 , 0.00%
       834 , 17.24%
       835 , 6.06%
       836 , 25.00%
       837 , 0.98%
       838 , 13.79%
       839 , 13.33%
       840 , 7.69%
       841 , 0.00%
       842 , 8.33%
       843 , 40.00%
       844 , 100.00%
       845 , 10.00%
       846 , 10.00%
       847 , 13.79%
       848 , 50.00%
       849 , 21.43%
       850 , 3.70%
       851 , 15.79%
       852 , 12.50%
       853 , 50.00%
       854 , 0.00%
       855 , 0.00%
       856 , 16.67%
       857 , 20.00%
       858 , 22.22%
       859 , 14.29%
       860 , 7.69%
       861 , 14.29%
       862 , 40.00%
       863 , 8.33%
       864 , 50.00%
       865 , 20.00%
       866 , 0.00%
       867 , 0.00%
       868 , 0.00%
       869 , 9.09%
       870 , 9.09%
       871 , 2.17%
       872 , 0.00%
       873 , 20.00%
       874 , 14.29%
       875 , 0.00%
       876 , 2.86%
       877 , 8.51%
       878 , 6.25%
       879 , 15.38%
       880 , 7.69%
       881 , 11.54%
       882 , 5.71%
       883 , 8.11%
       884 , 3.12%
       885 , 27.27%
       886 , 8.22%
       887 , 1.20%
       888 , 7.25%
       889 , 0.00%
       890 , 5.56%
       891 , 0.00%
       892 , 5.56%
       893 , 13.11%
       894 , 16.22%
       895 , 4.55%
       896 , 0.00%
       897 , 16.00%
       898 , 13.33%
       899 , 0.00%
       900 , 0.00%
       901 , 0.00%
       902 , 0.00%
       903 , 15.38%
       904 , 0.00%
       905 , 0.00%
       906 , 6.02%
       907 , 0.00%
       908 , 23.53%
       909 , 0.00%
       910 , 14.29%
       911 , 20.00%
       912 , 8.51%
       913 , 0.00%
       914 , 7.61%
       915 , 6.06%
       916 , 0.00%
       917 , 10.00%
       918 , 0.00%
       919 , 10.00%
       920 , 29.41%
       921 , 17.65%
       922 , 0.00%
       923 , 0.00%
       924 , 0.00%
       925 , 6.45%
       926 , 14.29%
       927 , 50.00%
       928 , 5.45%
       929 , 37.50%
       930 , 7.69%
       931 , 3.23%
       932 , 30.00%
       933 , 0.00%
       934 , 5.88%
       935 , 6.52%
       936 , 5.26%
       937 , 0.00%
       938 , 60.00%
       939 , 66.67%
       940 , 0.00%
       941 , 10.00%
       942 , 25.00%
       943 , 20.00%
       944 , 21.43%
       945 , 15.38%
       946 , 50.00%
       947 , 0.00%
       948 , 16.67%
       949 , 80.00%
       950 , 50.00%
       951 , 5.56%
       952 , 100.00%
       953 , 71.43%
       954 , 20.00%
       955 , 5.56%
       956 , 21.88%
       957 , 100.00%
       958 , 40.00%
       959 , 100.00%
       960 , 36.36%
       961 , 25.00%
       962 , 36.36%
       963 , 25.00%
       964 , 26.32%
       965 , 37.50%
       966 , 14.29%
       967 , 9.52%
       968 , 22.22%
       969 , 0.00%
       970 , 0.00%
       971 , 25.00%
       972 , 30.00%
       973 , 19.15%
       974 , 100.00%
       975 , 6.67%
       976 , 75.00%
       977 , 0.00%
       978 , 75.00%
       979 , 11.76%
       980 , 1.11%
       981 , 27.27%
       982 , 80.00%
       983 , 12.50%
       984 , 0.00%
       985 , 14.81%
       986 , 10.00%
       987 , 16.22%
       988 , 16.36%
       989 , 33.33%
       990 , 28.12%
       991 , 66.67%
       992 , 50.00%
       993 , 9.09%
       994 , 80.00%
       995 , 75.00%
       996 , 15.00%
       997 , 13.33%
       998 , 11.11%
       999 , 13.33%
      1000 , 8.16%
      1001 , 20.00%
      1002 , 28.57%
      1003 , 80.00%
